Film Title,Date,Genre,Language,Length,URL
Code inconnu,15 novembre 2000,Drame,French,1h57min,http://protect.megaupload-torrent.com/index.php?id=5926
Code 77 (Beacon77),2009,Thriller,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=7919
Code 46,2003,Drame,French,1h32min,http://protect.megaupload-torrent.com/index.php?id=5512
Code 252 : Signal de détresse,18 juillet 2012,Action,French,2h8min,http://protect.megaupload-torrent.com/index.php?id=9097
Coco Chanel et Igor Stravinsky,30 décembre 2009,Drame,French,1h58min,http://protect.megaupload-torrent.com/index.php?id=1097
Coco avant Chanel,22 avril 2009,Aventure,French,1h50min,http://protect.megaupload-torrent.com/index.php?id=703
Coco,18 mars 2009,Comédie,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=1408
Cocktail,8 février 1989,Romance,French,1h44min,http://protect.megaupload-torrent.com/index.php?id=5112
Cockneys vs. Zombies,17 avril 2013,Epouvante-horreur,French,1h28min,http://protect.megaupload-torrent.com/index.php?id=9860
Cobra,22 octobre 1986,Action,French,1h27min,http://protect.megaupload-torrent.com/index.php?id=446
Coast Guards,20 décembre 2006,Action,French,2h17min,http://protect.megaupload-torrent.com/index.php?id=1107
Coach Carter,17 août 2005,Comédie,French,2h17min,http://protect.megaupload-torrent.com/index.php?id=1595
Cluedo (Clue),,Comédie,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=3162
Club dread,2003,Comédie,French,1h39min,http://protect.megaupload-torrent.com/index.php?id=3024
CLOWN,2005,Policier,French,1h44min,http://protect.megaupload-torrent.com/index.php?id=469
Cloverfield,6 février 2008,Sience fiction,French,1h21min,http://protect.megaupload-torrent.com/index.php?id=5411
Clover bend,2001,Action,French,1h28min,http://protect.megaupload-torrent.com/index.php?id=1268
Cloud Chasers : les traqueurs de tempêtes,2009,Divers,French,,http://protect.megaupload-torrent.com/index.php?id=2754
Cloud Atlas,2012,Drame,French,2h44min,http://protect.megaupload-torrent.com/index.php?id=9963
"Closer, entre adultes consentants (Closer)",19 janvier 2005,Romance,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=4215
Close combat (U.S. Seals II),2001,Action,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=5486
Clones,28 octobre 2009,Sience fiction,French,1h25min,http://protect.megaupload-torrent.com/index.php?id=101
Cloclo,14 mars 2012,Drame,French,2h28min,http://protect.megaupload-torrent.com/index.php?id=9178
Clockers,1995,Comédie,French,2h09min,http://protect.megaupload-torrent.com/index.php?id=4247
Clochette et le secret des fées,10 octobre 2012,Animation,French,1h17min,http://protect.megaupload-torrent.com/index.php?id=9299
Clochette et l’expédition féérique,,Animation,French,1h17min,http://protect.megaupload-torrent.com/index.php?id=3206
Clochemerle,2004,Divers,French,,http://protect.megaupload-torrent.com/index.php?id=6540
Cliffhanger,6 octobre 1993,Action,French,1h52min,http://protect.megaupload-torrent.com/index.php?id=1039
Cliente,1 octobre 2008,Comédie,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=3558
Click : Télécommandez votre vie,4 octobre 2006,Comédie,French,1h47min,http://protect.megaupload-torrent.com/index.php?id=757
Clerks II,2 mai 2007,Comédie,French,1h38min,http://protect.megaupload-torrent.com/index.php?id=216
Clementine,2004,Action,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=149
Clémenceau,14 novembre 2012,Divers,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=9385
Cleaner,14 mai 2008,Thriller,French,1h25min,http://protect.megaupload-torrent.com/index.php?id=7313
Claws of steel - les griffes d'acier,,Arts martiaux,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=3230
Clash (Bay Rong),2009,Action,French,1H30min,http://protect.megaupload-torrent.com/index.php?id=8231
Clara et moi,30 juin 2004,Romance,French,1h26min,http://protect.megaupload-torrent.com/index.php?id=1353
Claques sanglantes (Five Across the Eyes),2006,Epouvante-horreur,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=7019
CJ7 (Cheung Gong 7 hou),,Sience fiction,French,1h26min,http://protect.megaupload-torrent.com/index.php?id=3055
Civic duty,2006,Action,French,1h38min,http://protect.megaupload-torrent.com/index.php?id=354
City on fire,2011,Divers,French,1h41min.,http://protect.megaupload-torrent.com/index.php?id=3933
City of Life and Death,21 juillet 2010,Fantastique,French,2h15min,http://protect.megaupload-torrent.com/index.php?id=8232
City of gun,2008,Action,French,1h46min,http://protect.megaupload-torrent.com/index.php?id=8968
City of Ghosts,2002,Thriller,VF,1h56min,http://protect.megaupload-torrent.com/index.php?id=4216
City of crime (City of Industry),25 juin 1997,Policier,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=5546
City Island,20 janvier 2010,Comédie,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=4689
Cirque du Soleil 3D : le voyage imaginaire,mars 2013,Animation,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=9683
Cinq minarets à New-York,25 avril 2012,Action,French,1h38min,http://protect.megaupload-torrent.com/index.php?id=8906
Cinq Fois La Mort (Devil Times Five),1974,Thriller,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=8050
Cinq enfants et moi,20 octobre 2004,Aventure,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=2606
Cinq cartes a abattre,,Action,French,1h43min,http://protect.megaupload-torrent.com/index.php?id=1947
Cinnamon (my dog's Christmas miracle),2011,Comédie,French,1H31min,http://protect.megaupload-torrent.com/index.php?id=8949
Cinéman,28 octobre 2009,Comédie,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=1337
Cinema Verite,05 Novembre 2011,Drame,French,1h26min,http://protect.megaupload-torrent.com/index.php?id=8187
Cinderella Pact,2009,Romance,French,1h29min,http://protect.megaupload-torrent.com/index.php?id=6302
Cinderella - La malédiction du scalpel,2006,Epouvante-horreur,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=7020
Ciel noir,2009,Sience fiction,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=8230
Ciel De Feu,,Action,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=2622
Ciel d'octobre (October Sky),26 janvier 2000,Comédie,French,1h47mi,http://protect.megaupload-torrent.com/index.php?id=5763
Ciao Stefano (Non pensarci),30 avril 2008,Comédie,French,1h44min,http://protect.megaupload-torrent.com/index.php?id=7312
Chute libre,26 mai 1993,Drame,French,1h55min,http://protect.megaupload-torrent.com/index.php?id=2617
"Chungkai, le camp des survivants (To End All Wars)",2001,Guerre,French,2h05min,http://protect.megaupload-torrent.com/index.php?id=895
Chucky la poupée de sang (Child's Play 2),16 janvier 1991,Epouvante-horreur,French,1h21min,http://protect.megaupload-torrent.com/index.php?id=1033
Chucky 3 (Child's play 3),1991,Epouvante-horreur,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=422
Chrysalis,31 octobre 2007,Sience fiction,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=7311
Chroniques sexuelles d'une famille d'aujourd'hui,9 Mai 2012,Comédie,French,1h17min,http://protect.megaupload-torrent.com/index.php?id=9328
Chroniques de Tchernobyl,11 juillet 2012,Epouvante-horreur,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=9276
Chroniques d’Erzebeth (Bathory),2008,Drame,French,2h20min,http://protect.megaupload-torrent.com/index.php?id=7674
Chronique d'un scandale (Notes on a Scandal),28 février 2007,Drame,French,1h32min,http://protect.megaupload-torrent.com/index.php?id=3846
Chronique d'un affranchi,01 juin 2011,Action,French,2h20min,http://protect.megaupload-torrent.com/index.php?id=5391
Chronicle,2012,Drame,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=8753
Christmas story,2008,Divers,French,1h20min,http://protect.megaupload-torrent.com/index.php?id=7673
Christine,25 janvier 1984,Divers,French,1h50min,http://protect.megaupload-torrent.com/index.php?id=3733
Chouchou,19 mars 2003,Comédie,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=438
Chorus Line (A Chorus Line),22 janvier 1986,Musical,French,1h53min,http://protect.megaupload-torrent.com/index.php?id=2038
Chopper,30 mai 2001,Policier,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=5924
Choose,2010,Divers,French,,http://protect.megaupload-torrent.com/index.php?id=4900
Choke,21 janvier 2009,Comédie,French,1h32min,http://protect.megaupload-torrent.com/index.php?id=3588
Chok dee,16 février 2005,Arts martiaux,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=3610
Chocolate,2008,Action,VOSubFr,1h50min,http://protect.megaupload-torrent.com/index.php?id=7669
Chloé,1996,Romance,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=4015
Chloe,10 mars 2010,Drame,French,1h39min,http://protect.megaupload-torrent.com/index.php?id=1817
Chisum,7 août 1970,Divers,French,,http://protect.megaupload-torrent.com/index.php?id=3161
Chinatown,18 décembre 1974,Policier,French,2h02min,http://protect.megaupload-torrent.com/index.php?id=2897
China strike force (Lei ting zhan jing),10 juillet 2002,Policier,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=5925
Children of Glory,2006,Drame,French,2h03min,http://protect.megaupload-torrent.com/index.php?id=7009
Chiens perdus sans collier,21 octobre 1955,Drame,French,1h38min,http://protect.megaupload-torrent.com/index.php?id=3160
Chiens des neiges (Snow Dogs),23 octobre 2002,Aventure,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=5630
Chiens de paille (Straw Dogs),20 Décembre 2011,Drame,French,,http://protect.megaupload-torrent.com/index.php?id=8203
Chien milliardaire (Diamond Dogs ),2007,Action,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=7309
Chien de flic 3,2002,Comédie,French,1h35,http://protect.megaupload-torrent.com/index.php?id=2291
Chico and Rita (Chico et Rita),6 juillet 2011,Animation,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=8208
Chicken Tikka Masala,2004,Comédie,VOSubFr,1h30min,http://protect.megaupload-torrent.com/index.php?id=1744
Chicken Run,13 décembre 2000,Animation,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=5014
Chicken little,7 décembre 2005,Animation,French,1h17min,http://protect.megaupload-torrent.com/index.php?id=687
Chicas,10 mars 2010,Comédie,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=8229
Chicago massacre (Chicago Massacre: Richard Speck),2007,Epouvante-horreur,French,1h32min,http://protect.megaupload-torrent.com/index.php?id=3818
Chicago,26 février 2003,Musical,,1h55min,http://protect.megaupload-torrent.com/index.php?id=453
chez gino,2008,Comédie,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=4257
Chevalier,14 novembre 2001,Action,French,2h12min,http://protect.megaupload-torrent.com/index.php?id=2615
Cheval de guerre (War Horse),février 2012,Drame,French,2h27min,http://protect.megaupload-torrent.com/index.php?id=8694
"Chérie, j'ai rétréci les gosses",1989,Comédie,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=4312
Chérie je me sens rajeunir (Monkey Business),1952,Comédie,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=8375
Chéri,8 avril 2009,Romance,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=3181
Cherchez Hortense,2012,Comédie,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=9510
Chercher le garçon,9 Mai 2012,Comédie,French,1h10min,http://protect.megaupload-torrent.com/index.php?id=9388
Cherche Fiancé Tous Frais Payés,27 juin 2007,Comédie,French,1h32min,http://protect.megaupload-torrent.com/index.php?id=6750
Cher John,31 mars 2010,Drame,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=1207
Chemins de traverse,10 mars 2004,Comédie,French,1h41min,http://protect.megaupload-torrent.com/index.php?id=479
Chemin de Croix (Chemin de Croix),2009,Divers,French,52min,http://protect.megaupload-torrent.com/index.php?id=8228
Cheech and Chong's Animated Movie,0.2013,Animation,French,,http://protect.megaupload-torrent.com/index.php?id=9994
Cheech,2006,Divers,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=7008
Che - 2ème partie : Guerilla,28 janvier 2009,Guerre,French,2h07min,http://protect.megaupload-torrent.com/index.php?id=7668
Che - 2ème partie : Guerilla,28 janvier 2009,Guerre,French,2h07min,http://protect.megaupload-torrent.com/index.php?id=1459
Che - 1ère partie : L'Argentin,7 janvier 2009,Guerre,French,2h07min,http://protect.megaupload-torrent.com/index.php?id=7667
Chaw (Chawu),2009,Epouvante-horreur,French,1h57min,http://protect.megaupload-torrent.com/index.php?id=8226
Chaude Journée à L.A. (Hugo pool),1997,Comédie,French,1h29min,http://protect.megaupload-torrent.com/index.php?id=8682
Chasseurs de primes,,Comédie,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=1423
Chasseurs de dragons,26 mars 2008,Animation,French,1h22min,http://protect.megaupload-torrent.com/index.php?id=1541
Chasseur de têtes (Pursued),2004,Drame,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=5429
Chasseur de primes (Bail Enforcers),03 Janvier 2012,Action,French,1h20min,http://protect.megaupload-torrent.com/index.php?id=8495
"Chasseur blanc, coeur noir Chasseur blanc, coeur noir",16 mai 1990,Drame,French,1h54min,http://protect.megaupload-torrent.com/index.php?id=5151
Chasse à l'homme (Hard Target),17 novembre 1993,Thriller,French,1h36min,http://protect.megaupload-torrent.com/index.php?id=4424
Chasing Papi,2002,Romance,French,,http://protect.megaupload-torrent.com/index.php?id=2820
Chasing Mavericks,2013,Drame,French,1h52min,http://protect.megaupload-torrent.com/index.php?id=9621
Charlots contre Dracula,,Comédie,French,1h25min,http://protect.megaupload-torrent.com/index.php?id=2671
Charlie's Angels,16 juillet 2003,Action,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=2012
"Charlie, les filles lui disent merci (Good Luck Chuck)",26 décembre 2007,Comédie,French,1h39min,http://protect.megaupload-torrent.com/index.php?id=4682
Charlie et ses drôles de dames (Charlie's Angels),22 novembre 2000,Aventure,French,1h38min,http://protect.megaupload-torrent.com/index.php?id=5550
Charlie et moi (Charlie & Me),2008,Comédie,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=225
Charlie et la chocolaterie,13 juillet 2005,Comédie,French,1h56min,http://protect.megaupload-torrent.com/index.php?id=668
Charlie Bartlett,,Comédie,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=167
Charleston & Vendetta (Tears For Sale),12 août 2009,Comédie,French,1h25min,http://protect.megaupload-torrent.com/index.php?id=7666
Chaque jour que Dieu fait,2013,Comédie,VOSubFr,1h42min,http://protect.megaupload-torrent.com/index.php?id=9673
Chaplin,17 février 1993,Comédie,French,2h23min,http://protect.megaupload-torrent.com/index.php?id=2122
Chapitre 27,23 avril 2008,Drame,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=7665
Chaos,3 octobre 2001,Comédie,French,1h49min,http://protect.megaupload-torrent.com/index.php?id=5717
Chaos,18 janvier 2006,Action,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=1183
Changeling,12 novembre 2008,Drame,French,2h21min,http://protect.megaupload-torrent.com/index.php?id=355
Change-moi ma vie,28 novembre 2001,Drame,French,1h41min,http://protect.megaupload-torrent.com/index.php?id=5921
Champions,2008,Action,VOSubFr,1h58min,http://protect.megaupload-torrent.com/index.php?id=7664
Chamku,2008,Drame,VOSubFr,,http://protect.megaupload-torrent.com/index.php?id=7663
Chameleon,2008,Divers,VOSubFr,1h37min,http://protect.megaupload-torrent.com/index.php?id=7662
Chambre 1408,16 janvier 2008,Epouvante-horreur,French,1h44min,http://protect.megaupload-torrent.com/index.php?id=1458
Chalet Girl,2012,Romance,French,1h36min,http://protect.megaupload-torrent.com/index.php?id=9275
Chained Heat 2,1993,Divers,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=8053
Chacun sa nuit,20 septembre 2006,Drame,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=7007
Ceux qui restent,29 août 2007,Romance,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=5725
Cette femme-là,15 octobre 2003,Policier,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=5175
César doit mourir,17 Octobre 2012,Drame,VOSubFr,1h16min,http://protect.megaupload-torrent.com/index.php?id=9547
Cesar,13 novembre 1936,Comédie,French,2h12min,http://protect.megaupload-torrent.com/index.php?id=3147
Ces Amours-là,15 septembre 2010,Comédie,French,2h00min,http://protect.megaupload-torrent.com/index.php?id=8225
Certains l'aiment froide,17 février 1960,Comédie,French,1h25min,http://protect.megaupload-torrent.com/index.php?id=6013
Certains l'aiment chaud (Some Like It Hot),9 septembre 1959,Comédie,French,2h01min,http://protect.megaupload-torrent.com/index.php?id=8376
Cerberus,,Epouvante-horreur,French,1h28min,http://protect.megaupload-torrent.com/index.php?id=2932
Centurion,7 juillet 2010,Action,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=3590
Cent mille dollars au soleil,17 avril 1964,Aventure,French,2h10min,http://protect.megaupload-torrent.com/index.php?id=986
Cendrillon au Far West,25 juillet 2012,Animation,French,1h21min,http://protect.megaupload-torrent.com/index.php?id=9476
Cendrillon 2,,Animation,French,1h13min,http://protect.megaupload-torrent.com/index.php?id=1954
Cendrillon & le prince (pas trop) charmant,28 mars 2007,Animation,French,1h20min,http://protect.megaupload-torrent.com/index.php?id=7010
Cendres et sang,9 septembre 2009,Drame,French,1h45min,http://protect.megaupload-torrent.com/index.php?id=7659
Cemetery Junction,,Comédie,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=3294
Cellule 211,4 août 2010,Thriller,French,1h53min,http://protect.megaupload-torrent.com/index.php?id=1344
Cellular,17 novembre 2004,Epouvante-horreur,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=2420
Cello,2005,Epouvante-horreur,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=6749
Celle que j'aime,22 avril 2009,Comédie,French,1h43min,http://protect.megaupload-torrent.com/index.php?id=4874
Célibataires en cavale,22 Mai 2012,Comédie,French,1h28min,http://protect.megaupload-torrent.com/index.php?id=8975
Celebrity,27 janvier 1999,Comédie,French,1h50min,http://protect.megaupload-torrent.com/index.php?id=1354
"Ce soir, je dors chez toi",21 novembre 2007,Romance,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=5671
Ce soir je veillerai sur toi,2002,Comédie,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=1044
Ce qui vous attend si vous attendez un enfant,20 juin 2012,Comédie,French,1h50min,http://protect.megaupload-torrent.com/index.php?id=9201
Ce que veulent les femmes,14 février 2001,Comédie,French,2h06min,http://protect.megaupload-torrent.com/index.php?id=848
Ce que pensent les hommes,11 février 2009,Romance,French,2h10min,http://protect.megaupload-torrent.com/index.php?id=2992
Ce Que Le Jour Doit A La Nuit,12 septembre 2012,Drame,French,2h39min,http://protect.megaupload-torrent.com/index.php?id=9657
Ce que je veux de plus (Cosa Voglio Di Piu),2009,Drame,VOSubFr,2h00min,http://protect.megaupload-torrent.com/index.php?id=7331
Ce que je sais d'elle... d'un simple regard,4 octobre 2000,Drame,French,1h39min,http://protect.megaupload-torrent.com/index.php?id=5920
Ce qu'il faut pour vivre,2007,Drame,French,1h42min,http://protect.megaupload-torrent.com/index.php?id=7307
Ce n’est qu’un début,17 novembre 2010,Documentaire,French,1h42min,http://protect.megaupload-torrent.com/index.php?id=3886
Ce dont rêvent les filles (What a Girl Wants),23 juillet 2003,Comédie,French,1h44min,http://protect.megaupload-torrent.com/index.php?id=1733
Cavale sans issue (Nowhere to Run),1993,Action,French,1h42min,http://protect.megaupload-torrent.com/index.php?id=2664
Cavale aux portes de l'enfer,2012,Action,French,1h48min,http://protect.megaupload-torrent.com/index.php?id=9193
Cavale,8 janvier 2003,Thriller,French,1h51min,http://protect.megaupload-torrent.com/index.php?id=3979
Cavalcade,25 mai 2005,Drame,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=6748
Cause toujours... tu m'intéresses !,18 avril 1979,Comédie,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=1821
caught Crossfire (Caught in the crossfire ),2010,Policier,French,1h25min,http://protect.megaupload-torrent.com/index.php?id=3936
Catwoman,8 septembre 2004,Action,French,1h44min,http://protect.megaupload-torrent.com/index.php?id=2011
Catlow,1971,Divers,French,1h43min,http://protect.megaupload-torrent.com/index.php?id=8138
Catimini,2012,Drame,French,1h51min,http://protect.megaupload-torrent.com/index.php?id=10049
Catfish,2010,Documentaire,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=8781
Catégorie 7 - La fin du monde (Category 7: The End of the World,2005,Divers,French,2h49min,http://protect.megaupload-torrent.com/index.php?id=6747
Catchfire,1989,Epouvante-horreur,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=3153
catch me if you can,12 février 2003,Comédie,French,2h21min,http://protect.megaupload-torrent.com/index.php?id=2264
Catacombes (Catacombs),2005,Thriller,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=6746
Cat City,,Thriller,French,1h30,http://protect.megaupload-torrent.com/index.php?id=8757
Cassos,2012,Comédie,French,1h23min,http://protect.megaupload-torrent.com/index.php?id=9345
Casshern,26 octobre 2005,Animation,French,2h22min,http://protect.megaupload-torrent.com/index.php?id=1809
Casse-Noisette (The Nutcracker in 3D),2010,Fantastique,French,1h50min,http://protect.megaupload-torrent.com/index.php?id=8217
"Casper, Le Nouveau Défi",2000,Animation,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=5922
Casper et Spooky,2005,Animation,French,1h25min,http://protect.megaupload-torrent.com/index.php?id=6754
Casper,4 octobre 1995,Comédie,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=3578
Casino Royale,22 novembre 2006,Action,French,2h18min,http://protect.megaupload-torrent.com/index.php?id=1096
Casino Jack,2010,Thriller,French,,http://protect.megaupload-torrent.com/index.php?id=4699
Casino,13 mars 1996,Drame,French,2h58min,http://protect.megaupload-torrent.com/index.php?id=3159
Cashback,17 janvier 2007,Comédie,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=5174
Cash (Ca$h),23 avril 2008,Comédie,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=6597
Cash,2007,Policier,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=4692
Cash,2010,Policier,French,1h43min,http://protect.megaupload-torrent.com/index.php?id=4691
Case départ,6 juillet 2011,Comédie,French,1h34min,http://protect.megaupload-torrent.com/index.php?id=8131
Casaway (Doing Hard Time),2004,Drame,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=1421
Casanova,2005,Romance,French,1h48min,http://protect.megaupload-torrent.com/index.php?id=8510
Casanegra,21 octobre 2009,Drame,French,2h05min,http://protect.megaupload-torrent.com/index.php?id=2124
Carver,,Epouvante-horreur,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=1593
Carver,,Epouvante-horreur,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=244
Cartouches gauloises,8 août 2007,Drame,French,1h32min,http://protect.megaupload-torrent.com/index.php?id=7006
Carton rouge - Mean Machine,19 juin 2002,Action,French,1h39min,http://protect.megaupload-torrent.com/index.php?id=934
Cars 2,27 juillet 2011,Animation,French,1h52mi,http://protect.megaupload-torrent.com/index.php?id=5341
Cars,14 juin 2006,Animation,French,1h36min,http://protect.megaupload-torrent.com/index.php?id=2016
Carrie au bal du diable,1976,Drame,French,1h38min,http://protect.megaupload-torrent.com/index.php?id=3734
Carrie 2 : la haine (The Rage Carrie 2),25 août 1999,Epouvante-horreur,French,1h44min,http://protect.megaupload-torrent.com/index.php?id=3145
Carré blanc,2011,Divers,French,1h17min,http://protect.megaupload-torrent.com/index.php?id=9163
Carny,2009,Epouvante-horreur,French,,http://protect.megaupload-torrent.com/index.php?id=8224
Carnets de voyage (Diarios de motocicleta ),8 septembre 2004,Drame,French,2h06min,http://protect.megaupload-torrent.com/index.php?id=5121
Carnage,2011,Comédie,French,1h20min,http://protect.megaupload-torrent.com/index.php?id=8643
Carlitos un rêve un but,2008,Comédie,French,1h50,http://protect.megaupload-torrent.com/index.php?id=7657
Carjacked,3 avril 2012,Thriller,French,1h29min,http://protect.megaupload-torrent.com/index.php?id=8804
Cargo,2012,Drame,French,,http://protect.megaupload-torrent.com/index.php?id=9330
Cargo,,Divers,French,2h00min,http://protect.megaupload-torrent.com/index.php?id=2966
Card Player (Il Cartaio),2004,Thriller,French,1h36min,http://protect.megaupload-torrent.com/index.php?id=360
Carceral : Dans l'enfer de la taule,3 juillet 2012,Drame,French,1h50min,http://protect.megaupload-torrent.com/index.php?id=9074
Carandiru,2 juin 2004,Drame,French,2h26min,http://protect.megaupload-torrent.com/index.php?id=1310
Carancho,2 février 2011,Drame,French,1h47min,http://protect.megaupload-torrent.com/index.php?id=4910
Caramel (Sukkar banat),15 août 2007,Drame,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=7306
Carambolages,1963,Divers,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=6014
Car Jacking (Transit),2008,Drame,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=7656
Captivity,8 août 2007,Drame,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=85
Captive,2012,Action,French,,http://protect.megaupload-torrent.com/index.php?id=9726
Captifs,6 octobre 2010,Thriller,French,1h24min,http://protect.megaupload-torrent.com/index.php?id=3820
Captain America : First Avenger,17 août 2011,Action,French,2h03min,http://protect.megaupload-torrent.com/index.php?id=7062
Captain america,1991,Aventure,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=4181
Capricorn One,,Sience fiction,French,2h03min,http://protect.megaupload-torrent.com/index.php?id=3151
Capone,,Policier,French,1h37min,http://protect.megaupload-torrent.com/index.php?id=2717
Capitalism: A Love Story,25 novembre 2009,Documentaire,French,2h06min,http://protect.megaupload-torrent.com/index.php?id=1773
Capitaine Sky et le monde de demain,16 mars 2005,Thriller,French,1h46min,http://protect.megaupload-torrent.com/index.php?id=5037
Capitaine Nakara,2011,Comédie,French,1h15min,http://protect.megaupload-torrent.com/index.php?id=9924
Capitaine Corelli (Captain Corelli's Mandolin ),20 juin 2001,Comédie,French,2h09min,http://protect.megaupload-torrent.com/index.php?id=459
Capitaine Conan,16 octobre 1996,Guerre,French,2h10min,http://protect.megaupload-torrent.com/index.php?id=1185
Capitaine Alatriste,25 juin 2008,Aventure,French,2h25min,http://protect.megaupload-torrent.com/index.php?id=3428
Capitaine Achab,13 février 2008,Aventure,French,1h40min,http://protect.megaupload-torrent.com/index.php?id=4827
Caos Calmo,10 décembre 2008,Drame,French,1h55min,http://protect.megaupload-torrent.com/index.php?id=7655
Cannibal Kitchen,18 Janvier 2012,Epouvante-horreur,French,1h18min,http://protect.megaupload-torrent.com/index.php?id=8853
Cannibal Holocaust 2,1985,Aventure,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=4404
Cannibal Holocaust,22 avril 1981,Epouvante-horreur,French,1h26min,http://protect.megaupload-torrent.com/index.php?id=2655
Cannibal Ferox (Cannibal Ferrox),,Epouvante-horreur,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=2106
Cannibal,2010,Epouvante-horreur,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=7725
Canine,2 décembre 2009,Drame,French,1h36min,http://protect.megaupload-torrent.com/index.php?id=1561
Candyman 3 : Le jour des morts,,Epouvante-horreur,French,1h35min,http://protect.megaupload-torrent.com/index.php?id=2927
Candyman 2,9 août 1995,Epouvante-horreur,French,1h39min,http://protect.megaupload-torrent.com/index.php?id=2928
Candyman,,Epouvante-horreur,French,1h38min,http://protect.megaupload-torrent.com/index.php?id=2929
Candy,2006,Romance,VO,1h56min,http://protect.megaupload-torrent.com/index.php?id=7005
Candide ou l'optimisme au XXe siècle,19 décembre 1960,Guerre,French,1h28min,http://protect.megaupload-torrent.com/index.php?id=2219
Canadian Pie (Going the Distance),,Comédie,French,1h33min,http://protect.megaupload-torrent.com/index.php?id=2956
Camping sauvage,2004,Comédie,French,1h30min,http://protect.megaupload-torrent.com/index.php?id=5409
